agents,comm_dropout,comm_delay_steps,reached,success,min_separation,collision_steps,mean_path,mean_traj,mean_steps_to_goal,mean_neighbors,dynamic_collision_steps,steps
8,0.00,0,8,1.00,0.91,0,12.41,11.22,163.2,3.99,0,225
8,0.00,3,8,1.00,0.93,0,12.41,11.22,157.9,3.95,0,218
8,0.00,6,8,1.00,0.93,0,12.41,11.22,159.1,3.91,0,222
8,0.00,9,8,1.00,0.93,0,12.41,11.22,160.9,3.90,0,226
8,0.00,12,8,1.00,0.93,0,12.41,11.23,162.2,3.89,0,229
