agents,success_mean,success_ci,min_separation_mean,min_separation_ci,collision_steps_mean,collision_steps_ci,dynamic_collision_steps_mean,dynamic_collision_steps_ci,mean_neighbors_mean,mean_neighbors_ci,mean_steps_mean,mean_steps_ci,mean_steps_to_goal_mean,mean_steps_to_goal_ci
4,1.0,0.0,1.1050697007937083,0.48614570630524545,10.6,16.323399645907095,0.0,0.0,2.1249898248380807,0.12096117322678336,173.6,14.543675463925892,138.1,13.445657142735715
8,1.0,0.0,0.8480646319288528,0.13016105416447707,11.8,17.839230476676956,6.2,7.701578020120293,4.0092046641580215,0.2137342888117029,219.6,24.477253440694685,160.0,7.630088302241332
12,1.0,0.0,0.7141708762968896,0.14464731949827603,44.2,51.09701580327368,11.4,11.080502515680415,5.490005386059461,0.5795271718121701,258.4,25.925399437617155,182.96666666666664,9.207365264347395
16,1.0,0.0,0.4032634968845551,0.28690266966484895,109.6,81.05636813970881,30.4,16.958248022717438,6.540956568099796,0.6260349405602745,337.6,41.20477564554866,221.5875,18.776281158019547
20,1.0,0.0,0.3092720489182391,0.20709467233678888,211.4,47.0832634382962,24.8,15.350691971373797,7.733361757192054,0.3836090665542023,391.6,15.613709873057074,254.35999999999999,9.782069196238599
