agents,success_mean,success_ci,min_separation_mean,min_separation_ci,collision_steps_mean,collision_steps_ci,dynamic_collision_steps_mean,dynamic_collision_steps_ci,mean_neighbors_mean,mean_neighbors_ci,mean_steps_mean,mean_steps_ci,mean_steps_to_goal_mean,mean_steps_to_goal_ci
4,1.0,0.0,0.8497688337822218,0.13016273834706513,15.6,18.88732315602187,0.0,0.0,2.150088126523781,0.1600241785647283,210.6,29.966855290470505,164.85,16.851726202380572
8,1.0,0.0,0.8450641468149123,0.12319267455184382,11.4,17.852146537601577,4.6,9.016,4.015622480791246,0.27475115053218396,248.4,24.594681050991493,176.65,8.898054618847874
12,1.0,0.0,0.7441961281639463,0.06690103147551285,43.0,43.923245781704246,12.8,14.057450124400226,5.346226493016728,0.25879530492773856,302.0,40.254029363530805,201.43333333333334,17.978051847244796
16,1.0,0.0,0.38772460745346493,0.2806761505425239,121.6,96.95682387537248,13.8,12.262145978579769,6.559605501533518,0.5357009752444524,365.2,45.00067803933625,234.2125,19.523617886421558
20,1.0,0.0,0.2754444919512059,0.09914100678516491,226.6,26.663204908637667,19.2,12.104487762809296,8.328604358647908,0.5153991352973168,404.8,21.93449301898724,272.38,14.073653038212917
