prediction_horizon,success_mean,success_ci,min_separation_mean,min_separation_ci,collision_steps_mean,collision_steps_ci,dynamic_collision_steps_mean,dynamic_collision_steps_ci,mean_neighbors_mean,mean_neighbors_ci,mean_steps_mean,mean_steps_ci,mean_steps_to_goal_mean,mean_steps_to_goal_ci
0,1.0,0.0,0.8480646319288528,0.13016105416447707,11.8,17.839230476676956,6.2,7.701578020120293,4.0092046641580215,0.2137342888117029,219.6,24.477253440694685,160.0,7.630088302241332
1,1.0,0.0,0.7939342552670361,0.18361028386890982,14.2,18.473974775342743,5.4,9.184853618866226,4.147529137629751,0.38541188324228626,233.6,27.06361867895718,171.925,6.9584313246593155
3,1.0,0.0,0.8621974085030404,0.11958172129686946,9.4,18.424,5.2,10.191999999999998,4.073235146929517,0.30069564706564844,241.6,24.943647207254998,174.6,8.394745439857004
5,1.0,0.0,0.8450641468149123,0.12319267455184382,11.4,17.852146537601577,4.6,9.016,4.015622480791246,0.27475115053218396,248.4,24.594681050991493,176.65,8.898054618847874
8,1.0,0.0,0.8773343953021018,0.14814052303733824,13.0,18.006416634077976,4.2,8.232000000000001,3.9173335423599966,0.18164894091863437,259.4,13.839876300025226,180.025,8.265764090512139
