comm_delay_steps,success_mean,success_ci,min_separation_mean,min_separation_ci,collision_steps_mean,collision_steps_ci,dynamic_collision_steps_mean,dynamic_collision_steps_ci,mean_neighbors_mean,mean_neighbors_ci,mean_steps_mean,mean_steps_ci,mean_steps_to_goal_mean,mean_steps_to_goal_ci
0,1.0,0.0,0.8480646319288528,0.13016105416447707,11.8,17.839230476676956,0.0,0.0,4.0092046641580215,0.2137342888117029,219.6,24.477253440694685,160.0,7.630088302241332
3,1.0,0.0,0.9488839146991028,0.20244888088720964,2.6,5.095999999999999,0.0,0.0,4.044514615605961,0.1723855345258876,209.6,17.98079686776979,155.7,6.3994262633458
6,1.0,0.0,1.0008429611310865,0.2212013813732942,0.6,1.176,0.0,0.0,4.017373594470966,0.16275246745059727,209.4,18.002149205025493,154.775,6.142321507378134
9,1.0,0.0,1.0268959968785347,0.2124026557857171,0.0,0.0,0.0,0.0,4.005175621981117,0.14201775995163213,210.4,17.755047057104633,155.025,6.200678470941708
12,1.0,0.0,1.0399191900948108,0.19670363209600467,0.0,0.0,0.0,0.0,3.993222844981318,0.12883385749113554,211.2,17.817682902105986,155.15,6.431144999142843
