agents,reached,success,min_separation,collision_steps,mean_path,mean_traj,mean_steps_to_goal,mean_neighbors,dynamic_collision_steps,steps
4,4,1.00,0.84,0,12.19,11.17,150.0,2.41,0,168
8,8,1.00,0.90,0,12.41,11.58,179.5,3.80,0,266
12,12,1.00,0.62,106,11.86,11.60,223.2,5.30,4,349
16,16,1.00,0.00,81,12.21,11.23,220.1,6.15,0,354
20,20,1.00,0.40,251,11.73,10.80,268.6,7.87,13,419
